18/09/2026,"-500.00","Transfer to xx9999 CommBank app Savings","+7063.88"
12/09/2026,"-65.00","ANYTIME FITNESS PENRITH NS AUS Card xx0000","+7563.88"
09/09/2026,"-15.99","NETFLIX.COM MELBOURNE VI AUS Card xx0000","+7628.88"
06/09/2026,"-31.40","UBER *TRIP HELP.UBER.COM NS AUS Card xx0000","+7644.87"
02/09/2026,"-77.85","WOOLWORTHS 1234 PENRITH NS AUS Card xx0000 Value Date: 31/08/2026","+7676.27"
01/09/2026,"+2100.00","Direct Credit 012345 ACME PTY LTD SALARY","+7754.12"
27/08/2026,"-9.50","THE LITTLE CAFE PENRITH NS AUS Card xx0000","+5654.12"
19/08/2026,"-58.20","COLES 0456 PENRITH NS AUS Card xx0000 Value Date: 17/08/2026","+5663.62"
15/08/2026,"-120.00","ORIGIN ENERGY MELBOURNE VI AUS Card xx0000","+5721.82"
09/08/2026,"-15.99","NETFLIX.COM MELBOURNE VI AUS Card xx0000","+5841.82"
08/08/2026,"-18.75","UBER *EATS HELP.UBER.COM NS AUS Card xx0000","+5857.81"
03/08/2026,"-91.30","WOOLWORTHS 1234 PENRITH NS AUS Card xx0000 Value Date: 01/08/2026","+5876.56"
01/08/2026,"+2100.00","Direct Credit 012345 ACME PTY LTD SALARY","+5967.86"
22/07/2026,"-42.00","JOES BARBER SHOP PENRITH NS AUS Card xx0000","+3867.86"
20/07/2026,"-500.00","Transfer to xx9999 CommBank app Savings","+3909.86"
14/07/2026,"-64.10","COLES 0456 PENRITH NS AUS Card xx0000 Value Date: 12/07/2026","+4409.86"
09/07/2026,"-15.99","NETFLIX.COM MELBOURNE VI AUS Card xx0000","+4473.96"
05/07/2026,"-23.60","UBER *TRIP HELP.UBER.COM NS AUS Card xx0000 Value Date: 03/07/2026","+4489.95"
02/07/2026,"-86.45","WOOLWORTHS 1234 PENRITH NS AUS Card xx0000 Value Date: 30/06/2026","+4513.55"
01/07/2026,"+2100.00","Direct Credit 012345 ACME PTY LTD SALARY","+4600.00"
